count_point_id,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles
945849,9,"South East",142,Oxfordshire,B4001,Minor,,,435757,188106,51.59067822,-1.48524800,,
945848,9,"South East",142,Oxfordshire,B4022,Minor,,,436037,219930,51.87678000,-1.47792170,,
945847,9,"South East",142,Oxfordshire,B4449,Minor,,,437908,203051,51.72490400,-1.45258440,,
945846,9,"South East",142,Oxfordshire,B4449,Minor,,,442995,208764,51.77590100,-1.37823680,,
945845,9,"South East",142,Oxfordshire,B471,Minor,,,463700,178687,51.50353854,-1.08364034,,
945844,9,"South East",142,Oxfordshire,B480,Minor,,,474532,184533,51.55477068,-0.92637134,,
945843,9,"South East",142,Oxfordshire,B4477,Minor,,,428776,207500,51.76544716,-1.58442260,,
945842,9,"South East",142,Oxfordshire,B4100,Minor,,,448344,235506,52.01588279,-1.29697401,,
945841,9,"South East",142,Oxfordshire,B4009,Minor,,,466103,192532,51.62773128,-1.04642481,,
945840,9,"South East",142,Oxfordshire,B4508,Minor,,,432024,193920,51.64317565,-1.53860190,,
945839,9,"South East",142,Oxfordshire,B4009,Minor,,,463480,192756,51.63004500,-1.08427280,,
945838,9,"South East",142,Oxfordshire,B480,Minor,,,471739,190194,51.60602388,-0.96549469,,
945837,9,"South East",142,Oxfordshire,B4437,Minor,,,433817,219363,51.87182100,-1.51022420,,
945836,9,"South East",142,Oxfordshire,B4035,Minor,,,442489,238795,52.04592800,-1.38187610,,
945835,9,"South East",142,Oxfordshire,B4022,Minor,,,437572,223589,51.90957657,-1.45522746,,
945834,9,"South East",142,Oxfordshire,B430,Minor,,,454119,226785,51.93694800,-1.21420500,,
945833,9,"South East",142,Oxfordshire,B4017,Minor,,,446543,203590,51.72910100,-1.32750710,,
942536,9,"South East",142,Oxfordshire,U,Minor,,,429250,195570,51.65816134,-1.57855172,,
942240,9,"South East",142,Oxfordshire,U,Minor,,,459320,204440,51.73554094,-1.14238492,,
940238,9,"South East",142,Oxfordshire,B4022,Minor,,,438817,227694,51.94639693,-1.43666832,,
931331,9,"South East",142,Oxfordshire,C,Minor,,,452300,201890,51.71331316,-1.24441385,,
931330,9,"South East",142,Oxfordshire,U,Minor,,,458770,223970,51.91117293,-1.14704003,,
931329,9,"South East",142,Oxfordshire,U,Minor,,,446390,238740,52.04512291,-1.32500677,,
931328,9,"South East",142,Oxfordshire,C,Minor,,,444150,242240,52.07677050,-1.35721426,,
931327,9,"South East",142,Oxfordshire,U,Minor,,,446680,241140,52.06667457,-1.32045148,,
931326,9,"South East",142,Oxfordshire,C,Minor,,,433680,209810,51.78594320,-1.51314034,,
931325,9,"South East",142,Oxfordshire,C,Minor,,,427620,206520,51.75669412,-1.60125076,,
